time,target_pnl,our_pnl,our_balance,ratio,coin,dir
2026-03-11 08:14:36,0.359894,4.751381273106275e-05,1000.0000475138128,0.00013202168619388696,ETH,Close Short
2026-03-11 08:14:36,43.85213,0.0057893989035394154,1000.0058369127163,0.00013202092814053537,ETH,Close Short
2026-03-11 08:14:36,74.132956,0.009787062531383013,1000.0156239752476,0.0001320204003652979,ETH,Close Short
2026-03-11 08:14:43,-0.170045,-2.2449629196582085e-05,1000.0156015256184,0.00013202169541346164,BTC,Open Long
2026-03-11 08:14:44,-0.034009,-4.489925758679939e-06,1000.0155970356926,0.00013202169304242818,BTC,Open Long
2026-03-11 08:15:28,1.4167772,0.00018704528878270345,1000.0157840809813,0.00013202166775601939,@151,Sell
2026-03-11 08:15:42,-0.21992,-2.903421144650248e-05,1000.0157550467699,0.00013202169628275044,BTC,Open Long
2026-03-11 08:16:03,3.62502822,0.0004785821317448389,1000.0162336289017,0.00013202162926743752,@151,Sell
2026-03-11 08:16:04,6.7127467,0.0008862273949327594,1000.0171198562966,0.0001320215754502936,@151,Sell
2026-03-11 08:16:04,4.37339516,0.0005773826974085236,1000.0176972389941,0.00013202161622379523,@151,Sell
2026-03-11 08:16:46,0.158958,2.0985903747985207e-05,1000.0177182248979,0.00013202168967894166,@151,Sell
2026-03-11 08:16:58,1.44388111,0.0001906235915013273,1000.0179088484894,0.00013202166728348383,@151,Sell
2026-03-11 08:17:28,1.4714977999999999,0.0001942695922516839,1000.0181031180816,0.00013202166680214127,@151,Sell
2026-03-11 08:17:52,14.11147652,0.0018630175423534632,1000.019966135624,0.00013202144649520085,@151,Sell
2026-03-11 08:18:10,-0.000335,-4.422726697237743e-08,1000.0199660913968,0.00013202169245485798,BTC,Open Long
2026-03-11 08:18:10,-0.00265,-3.4985748511229854e-07,1000.0199657415393,0.000132021692495207,BTC,Open Long
2026-03-11 08:18:10,-0.001912,-2.524254760262419e-07,1000.0199654891138,0.0001320216924823441,BTC,Open Long
2026-03-11 08:18:11,-0.000603,-7.9609080553096e-08,1000.0199654095047,0.00013202169245952902,BTC,Open Long
2026-03-11 08:18:11,-0.001409,-1.8601856469527016e-07,1000.0199652234861,0.0001320216924735771,BTC,Open Long
2026-03-11 08:18:11,-0.83886,-0.00011074772919259746,1000.0198544757569,0.00013202170706982984,BTC,Open Long
2026-03-11 08:18:12,-0.576196,-7.607037688894099e-05,1000.0197784053801,0.00013202170249175798,BTC,Open Long
2026-03-11 08:18:12,-0.031608,-4.172941672341618e-06,1000.0197742324384,0.00013202169299992466,BTC,Open Long
2026-03-11 08:18:12,-0.2024,-2.672119126568891e-05,1000.0197475112471,0.00013202169597672386,BTC,Open Long
2026-03-11 08:19:28,0.72584729,9.582757850258785e-05,1000.0198433388257,0.00013202167979794736,@151,Sell
2026-03-11 08:20:58,0.91916409,0.00012134958407472797,1000.0199646884098,0.00013202167642855584,@151,Sell
2026-03-11 08:21:10,1.12137065,0.00014804522915869478,1000.0201127336389,0.00013202167290422197,@151,Sell
2026-03-11 08:21:11,13.39005788,0.0017677749783367642,1000.0218805086173,0.00013202145906906,@151,Sell
2026-03-11 08:21:58,1.00201414,0.00013228758512060188,1000.0220127962024,0.0001320216749841493,@151,Sell
2026-03-11 08:22:16,-0.083322,-1.100031157920608e-05,1000.0220017958908,0.00013202169390084348,BTC,Open Long
2026-03-11 08:22:16,-1.930114,-0.000254816981828978,1000.0217469789089,0.00013202172608922476,BTC,Open Long
2026-03-11 08:22:49,0.29524495,3.897873646658957e-05,1000.0217859576454,0.00013202168730266028,@151,Sell
2026-03-11 08:22:49,0.29524495,3.897873646658957e-05,1000.0218249363819,0.00013202168730266028,@151,Sell
2026-03-11 08:22:50,0.29524495,3.897873646658957e-05,1000.0218639151184,0.00013202168730266028,@151,Sell
2026-03-11 08:23:26,0.1230189,1.6241163117393805e-05,1000.0218801562816,0.00013202169030444757,@151,Sell
2026-03-11 08:23:26,0.1230189,1.6241163117393805e-05,1000.0218963974447,0.00013202169030444757,@151,Sell
2026-03-11 08:24:25,2.45605322,0.00032425219771098086,1000.0222206496425,0.0001320216496411999,@151,Sell
2026-03-11 08:24:25,2.45605322,0.00032425219771098086,1000.0225449018402,0.0001320216496411999,@151,Sell
2026-03-11 08:24:25,2.45605322,0.00032425219771098086,1000.022869154038,0.0001320216496411999,@151,Sell
2026-03-11 08:24:26,2.45605322,0.0003242521977109809,1000.0231934062357,0.00013202164964119993,@151,Sell
2026-03-11 08:33:28,-0.019803220000000003,-2.614454627165813e-06,1000.0231907917811,0.00013202169279368772,@151,Sell
2026-03-11 08:36:44,-1.45261334,-0.00019177650839748262,1000.0229990152727,0.00013202171776660306,@151,Sell
2026-03-11 08:42:53,-3.45229335,-0.0004557778186243398,1000.0225432374541,0.00013202175261970128,@151,Sell
2026-03-11 08:49:58,-0.10265328000000001,-1.3552459944654655e-05,1000.0225296849942,0.0001320216942376771,@151,Sell
2026-03-11 08:50:22,1.88018668,0.0002482253659982644,1000.0227779103602,0.0001320216596781041,@151,Sell
2026-03-11 08:51:04,4.713066690000001,0.0006222266538789745,1000.023400137014,0.00013202161030294576,@151,Sell
2026-03-11 08:51:21,16.91114052,0.0022326324081418233,1000.0256327694221,0.0001320213976994275,@151,Sell
2026-03-11 08:52:06,29.30965252,0.0038694949580814052,1000.0295022643802,0.00013202118160360248,@151,Sell
2026-03-11 08:52:06,29.70960452,0.003922296886606586,1000.0334245612668,0.00013202117463280815,@151,Sell
2026-03-11 08:52:16,-0.592112,-7.817163446686749e-05,1000.0333463896324,0.00013202170276378032,BTC,Open Long
2026-03-11 08:52:16,-0.026076,-3.4425976640149072e-06,1000.0333429470347,0.0001320216928982554,BTC,Open Long
2026-03-11 08:52:17,-0.111302,-1.4694278628291443e-05,1000.0333282527561,0.00013202169438367183,BTC,Open Long
2026-03-11 08:52:17,-0.000504,-6.653893299608884e-08,1000.0333281862171,0.00013202169245255722,BTC,Open Long
2026-03-11 08:52:18,-0.202114,-2.6683433058562573e-05,1000.0333015027841,0.00013202169596644752,BTC,Open Long
2026-03-11 08:52:18,-0.05407,-7.138412961390041e-06,1000.0332943643712,0.00013202169338616683,BTC,Open Long
2026-03-11 08:52:18,-0.147708,-1.950066052774789e-05,1000.0332748637106,0.00013202169501819733,BTC,Open Long
2026-03-11 08:53:15,-0.032238,-4.2561153391162625e-06,1000.0332706075953,0.00013202169300565364,BTC,Open Long
2026-03-11 08:53:16,-0.085084,-1.1232933806060568e-05,1000.0332593746615,0.0001320216939267144,BTC,Open Long
2026-03-11 08:53:16,-0.103203,-1.362503491091008e-05,1000.0332457496265,0.0001320216942425131,BTC,Open Long
2026-03-11 08:53:16,-0.001916,-2.529535627862519e-07,1000.033245496673,0.00013202169247716696,BTC,Open Long
